country,secondary_enrollment,tertiary_enrollment,infant_mortality,life_expectancy,gdp_per_capita,gini_index,poverty_1.90_USD,high_tech_exports,rd_researchers,income_top_20_percent,slums,corruption,gov_effectivness,positive_affect,generosity,freedom
Cabo Verde,70.21902374999999,22.36893569098579,17.39,72.0094,3445.5013905773367,42.4,3.4,0.120957831891998,86.80104,48.7,NaN,57.375,0.14938703030347825,NA,NA,NA
Cambodia,NaN,13.925281683603933,28.810000000000002,68.354,1169.8580075945424,NaN,NaN,0.9985303666848386,30.36704,NaN,49.29999923706057,20.75,-0.7411477625370025,0.6904100179672241,0.18405810408294201,0.9494346916675568
Cameroon,43.129916,13.817943467034233,58.71,57.2784,1473.6485738552688,46.6,26,5.593559856850007,NaN,51.7,38.349999427795396,25.75,-0.8355389475822449,0.6188718020915985,-0.013948021724354475,0.7762385547161103
Canada,94.3504,66.60096321105958,4.71,81.76902439024391,47997.399978007204,33.4,0.24285714285714288,15.098135802748109,4554.646445,40.6,0.00999999977648258,81.375,1.7722169280052185,0.7872940123081207,0.21816349104046823,0.93040931224823
Central African Republic,13.383783333333334,2.92950995763143,89.17,50.4202,458.5096774476154,NaN,NaN,11.562527123668094,NaN,NaN,95.5250015258789,24.125,-1.6353724718093872,0.5331946685910225,0.014439087826758623,0.6848193854093552
Chad,18.648225,2.7490375638008127,76.51,52.791999999999994,841.5867125952225,40.4,35.650000000000006,NaN,57.89175,47,87.85000038146973,20.125,-1.4740556836128236,0.5427199929952622,0.002242050226777792,0.546482726931572
Chile,87.19166,82.37906723022462,6.7700000000000005,79.5351,14626.717511906496,45.15,0.4,6.812090028390105,408.30232125,51.925,8.93333339691162,69.125,1.1437616646289825,0.7648663878440857,0.06347725801169872,0.7349921047687531
China,NaN,40.09384689331054,8.86,75.7304,7609.883732916307,40.010000000000005,3.09,30.87043963233641,1099.0319233333332,46.42999999999999,26.3000005086263,39.125,0.2698323670774698,0.6997808456420899,-0.18663660287857056,0.8488980787140983
Colombia,76.21864333333333,50.34068489074707,13.63,76.3972,6963.274707215785,51.89,5.3100000000000005,7.68750384964561,72.517038,56.69,20.8250000476837,36.625,-0.013890738226473331,0.797375613451004,-0.09783401731401682,0.8232946455478668
Comoros,45.630125,8.046511840820314,55.23,63.2355,1385.6248458398256,45.3,19.1,6.0270272975894805,NaN,50.4,69.1999994913737,26.375,-1.6251100182533265,0.6512062668800354,-0.005313748214393854,0.5321667850017547
"Congo, Dem. Rep.",NaN,7.485450029373171,74.19,58.9443,466.7689593300923,42.1,77.2,0.8254906866707931,10.56469,48.4,73.2750005722046,20.875,-1.6056577563285828,0.5648852501596723,-0.004925091617873737,0.5914654689175742
"Congo, Rep.",NaN,10.17880749702454,38.42,62.63719999999999,2985.9308929533586,48.9,39.6,2.34144801285415,NaN,53.7,48.150000572204576,21.625,-1.177794086933136,0.5761248734262254,-0.11575841241412693,0.7448651393254598
Costa Rica,79.140825,52.3744002448188,8.02,79.4985,11018.205446375277,48.46,1.4200000000000002,29.08346047396928,421.66749000000004,53.81,4.43333339691162,55.625,0.3860286474227905,0.8086910724639893,-0.03921832493506372,0.9144870698451996
Cote d'Ivoire,35.76224,8.084568679332733,66.87,55.612300000000005,1991.112595333804,39.35,19.5,8.62665144329534,NaN,46.25,58.07499980926515,32.5,NA,0.6509136983326503,-0.05552771820553711,0.7527001670428685
Croatia,93.2127,64.12135581970213,4.25,77.44000000000001,13845.619840897725,31.23,0.6799999999999999,10.458736941057698,1654.8811133333334,38.56,NaN,48.25,0.5900005996227264,0.5549342572689057,-0.13359176814556123,0.6280264675617218
Cyprus,92.78736625,61.438005828857435,2.4699999999999998,80.2385,28038.8026938656,33.32,0.04,19.189352504672094,1085.7652133333333,41.83,NaN,60.25,1.1835630297660829,0.6674254715442658,0.05810890318825841,0.7326994359493255
Czech Republic,89.667696,64.75611305236818,2.55,78.52146341463416,20584.723954624398,25.8,0,18.25222866140504,3345.5409600000003,35.94,NaN,53.875,0.9864796996116638,0.6607016921043396,-0.16215986303157276,0.7903553313679166
Denmark,90.1622075,79.82488327026367,3.4299999999999997,80.501463414634145,58893.93489460661,28.02,0.16999999999999998,14.709335865227747,7405.329637777778,37.480000000000004,0.00100000004749745,89.625,1.9183778047561646,0.7898143112659455,0.15394758749753237,0.9416685283184052
Djibouti,37.8168,4.48080015182495,55.470000000000006,63.6321,2406.3331244358483,43.6,19.166666666666668,NaN,NaN,49.300000000000004,65.23333231608073,32.75,-0.9486928761005402,0.5427360534667969,-0.07182242721319199,0.755084902048111
Dominican Republic,66.75998666666666,52.8219940185547,28.73,73.0993,6857.06617935348,45.18,1.7600000000000002,4.5354753056535335,NaN,51.21,14.1250002384186,30.5,-0.4396795749664307,0.7305303871631622,-0.06769690494984389,0.8633292615413666
Ecuador,80.55009,44.114869689941415,13.680000000000001,76.0405,5886.616393264225,45.95,3.79,6.175605767434417,270.28119000000004,51.27,25.46666653951007,33.375,-0.47143503129482267,0.7991926670074463,-0.11820458844304085,0.8067835211753845
"Egypt, Arab Rep.",80.49815749999999,32.23394097222222,20.35,71.1928,3039.2994481245682,30.45,2.275,0.9418283535796336,604.6200833333334,40.3,8.875000119209277,34.125,-0.6503155708312989,0.4747346848249435,-0.14404605701565742,0.5942289710044861
El Salvador,63.86266555555556,27.93201107449002,13.75,72.28020000000001,3641.8404043917735,40.86,3.0100000000000002,5.8629422051913,65.9726275,47.3,24.566666285196963,36.5,-0.21271785628050566,0.8041082561016083,-0.14146432280540466,0.7624669730663299
Estonia,92.59046375,71.53590621948243,2.57,77.23756097560977,19133.153726027296,32.25,0.6,20.04972168416095,3369.172614444444,40.04,NaN,69.875,1.0742586076259613,0.6724937425719367,-0.1533605174885856,0.8055857751104567
Eswatini,39.662821666666666,7.23735499382019,46.480000000000004,54.0107,4050.383547302149,54.6,29.2,0.24760245225369845,142.34351,60.2,32.500000000000036,38.333333333333336,-0.5798642009496688,0.7404823899269104,-0.14568315943082175,0.6379377841949463
Ethiopia,30.453364999999998,8.992863284216988,44.68,64.51599999999999,598.3045059341746,34.1,33.2,6.349583749042264,59.163243333333334,42.35,70.12500190734863,34,-0.5597163200378418,0.5769120529294014,0.034687245439272374,0.7418216913938522
Fiji,84.8078,53.4931602478027,20.830000000000002,67.0568,5269.821194248919,33.7,1.15,8.3739817650514,NaN,42.05,11,NA,-0.34665699154138563,NA,NA,NA
Finland,94.58299,90.71939239501953,2.13,81.13829268292685,47685.072458725794,27.3,0.06000000000000001,10.189581148234867,7087.81095,36.79,NaN,87.875,2.074582505226135,0.7469520092010498,0.010859515424817801,0.9350952088832856
France,93.40057,61.899295806884766,3.2,82.3658536585366,40541.99070562404,32.611111111111114,0.05555555555555555,26.756336805503402,4252.858581111111,40.87777777777777,NaN,70.125,1.419787383079529,0.7221879363059998,-0.12438125684857368,0.8356983959674835
Gabon,NaN,21.0658702850342,36.46,64.32820000000001,8614.507818365624,38,3.4,NaN,NaN,44.4,36.733332316080734,33.625,-0.8103177785873413,0.581609865029653,-0.19873631331655714,0.6783366203308105
"Gambia, The",NaN,2.57222338517507,40.43,60.812599999999996,721.0148904661479,39.75,17.85,1.2053502148980957,42.299995,46.7,29.2999998728434,31.125,-0.6818367898464203,0.7489518324534098,0.32042131821314496,0.7358832955360413
