country,technology,politics,education,health,happiness,economic,equality,poverty
"Congo, Rep.",-0.5412664340499304,-1.142397880530736,-1.0251463138149415,-0.8510631298542284,-0.5477232306606344,-0.41444350950847325,-1.4182790613624618,-0.898364560844002
Costa Rica,0.869696550242051,0.5345591960765711,0.41368218427598635,0.8506244103454901,0.859790754821396,0.4864299416849353,-1.398055465935032,0.950681720237514
Cote d'Ivoire,-0.1371767820279524,-0.5591052596497087,-1.2256352637856485,-1.9129632209260077,-0.13811556433404373,-0.6940388416113951,-0.2086961028629667,-0.5920710081567102
Croatia,0.27098418279752656,0.4473858226521673,0.8994413137499327,0.810152269607328,-0.9673648133411831,0.6440368680457541,0.9259555876313953,0.6162710958361147
Cyprus,0.5516394904643909,1.060447653901435,0.8438618236807827,1.0195695132250493,0.12045907270667372,1.130906133528139,0.5328009091872673,0.6485773241093578
Czech Republic,0.5215146065272054,0.7949674533496793,0.8401990070841878,0.913710696840094,-0.24525206070084762,0.9176723228597191,1.4871180624156808,0.6505964633764354
Denmark,0.40762439334615314,2.1954905468702277,1.1147054295449903,1.0140429815435983,1.3012146242891796,1.6429794792791876,1.220965076862282,1.0720006856708924
Djibouti,-0.6154844229342941,-0.737577326014589,-1.2481397137703936,-1.1719860995891742,-0.535381121810943,-0.563347976488102,-0.7261980499146874,-0.7286386499350215
Dominican Republic,-0.40020755901336025,-0.5366786851102244,0.17570201283742398,-2.917133511146641e-4,0.3959692230277512,0.1591900867245567,-0.9793856405101427,0.7458109694310812
Ecuador,0.133298187056222,-0.47837788496903244,0.29658458859335657,0.5144810349424636,0.3665126030920523,0.05389916120593524,-1.0345569935605827,0.46486776787079065
"Egypt, Arab Rep.",-0.03494738505063105,-0.5500333637211887,0.0868616208034102,0.0715247634914824,-1.3518979527555803,-0.40222004391387783,0.8407760342199235,0.8391432231658147
El Salvador,-0.7822855830660577,-0.26569848254002004,-0.31902850481157446,0.28500302706688785,0.21423099889082844,-0.27742744894153754,-0.38992569506484975,0.5027824597930199
